Content Type,Size,Content Title,Content,Designer Name,Instructions For Designer,Reference Link/Image,Assigned By,Assigned Date,Completion Date,Design Status,Approval Status,Captions,Posting Status,Design Drive Link,,,,
SM post,1080x1350(W x H) insta,Creative Expo Post,"FES, 21 yrs and Expo Logo
Grow Your Career in Pakistan with International Exposure

Join us at the Study Abroad Expo and Access
Personalized Counseling
On-Spot Applications
Affordable Study Options
Attractive Scholarships
Post-Study Work 
Global Networking
Quick Admission Process


No Charges
Register Now!

0346 8454999
0341 8454555
www.fespak.com
",Tayyaba,,https://www.pinterest.com/pin/207517495324409642/,Insia,28 April,,Completed ,,"Study abroad without losing your roots. Join our Study Abroad Expo to explore affordable study options, connect globally and plan your future without any charges. ",Posted,,,,,
SM post,1080x1350(W x H) insta,Ambassadors For Expo,"FES, 21 Years and Expo Logo
We Are Hiring Ambassadors For
(Expo Logo)
Achieve Target & Get a Chance to Earn While Studying
Add certificates and experience to your resume
(Paid Opportunity - Badge)

Open to universities from these cities
Lahore | Rwp/Isb | Mardan | Abbottabad | Karachi | Peshawar | Gujranwala | Wah Cantt

Apply Now
0341 8454555
0346 8454999
www.fespak.com",Tayyaba,,,Insia,28 April,,Completed ,,"Looking for a paid opportunity that will enhance both your resume and your confidence? Become the official student ambassador for Pakistan’s largest Study Abroad Expo at your university! Here’s what you’ll get:
* Valuable Experience
* Competitive Stipend
* Certification of Participation
* Free Career Counseling
* Internship and Job Opportunities
Terms and conditions apply. Contact us to learn more.",Posted,,,,,
SM post,1080x1350(W x H) insta,University of Dundee Fee & Scholarship,"FES logo, 21 Years of Excellence logo, University of Dundee logo
University of Dundee, UK 
Your Next Destination!
✅ £6500-£7500 Automatic Scholarships
✅ £3000 Living Cost Scholarship for MSc Islamic Finance students
✅ Refundable £5000 Deposit Requirement
✅ Easy 7-Installment Payment Plans
Apply with FES
0341-8454888 | 0346-8454999
www.fespak.com",Akbar,,,Shumaila,28 April,2 June,Completed ,,"Big dreams, simple steps. Study at the University of Dundee with attractive scholarships, a refundable deposit and stress-free installment payment plans. Contact now!",Posted,,,,,
SM post,1080x1350(W x H) insta,Expo Post,"FES, 21 Years and Expo Logo
Studying abroad isn’t about leaving… it’s about returning stronger.
Join us at the Expo and Shape Your Future with FES

#ParhoWahanBarhoYahan
Register Now

0346 8454999
0341 8454555
www.fespak.com",Tayyaba,"A world map with a dotted line from Pakistan to another country symbolizing the journey. A student figure or icon traveling along the dotted path, with a graduation cap or suitcase.","https://www.pinterest.com/pin/34691859626955844/
https://www.pinterest.com/pin/125749014592179047/
",Insia,29 April,,Completed ,,Build a future that brings something big in return. Explore global opportunities at the Study Abroad Expo and plan your way to a successful tomorrow.,Posted,,,,,
Newspaper Ad,"
27x4=108  سینٹی میٹر","Newspaper Ad
Wah Cantt.","FES logo
Add flags and names of the following countries:
UK, Australia, USA, Canada, Ireland, Netherlands, Germany, Hungary, Malaysia, UAE, Türkiye, Indonesia
Office 28-30, Al Kareem Arcade, Main Grand Trunk Rd, opposite Kohistan Enclave, Wah Cantt, Rawalpindi, Punjab 47040
www.fespak.com
0345-8454773
",Akbar,Urgent ,,Amjad,29 April,29 April,Completed ,,None,None,,,,,
SM post,,Hiring post,"FES logo
We Are Hiring 
Educational Counselor (Female)
Requirement: Masters or 4 years Bachelors Degree
Experience: Minimum 1-2 years of relevant experience
Location: FES Office, DHA, Lahore
Apply Now: info@fesrozgar.com
www.fespak.com
",Akbar,,,Shumaila,29 April,,Completed ,,Done,Posted,,,,,
SM post,1080x1350(W x H) insta,"Expo Post
Shortlist Uni","FES, 21 Years and Expo Logo
Guide To Shortlist University

Choose your course or field of interest
Find universities that match your goals 
Apply to programs aligned with your profile
Check for scholarships and funding options
Shortlist 4–5 strong options
Finalize the best one

Meet international reps and finalize your list at the Expo (highlight)

#ParhoWahanBarhoYahan
Register Now

0346 8454999
0341 8454555
www.fespak.com",Tayyaba,Plz dont write in bullets,https://www.pinterest.com/pin/302233825011505694/,Insia,29 April,6 May,Completed ,Approved,"Shortlisting the right university starts with knowing your goals. Here are some key points to consider before making a decision. To make it even easier, meet international representatives at the Study Abroad Expo and finalize your list!",Posted,,,,,
SM post,1080x1350(W x H) insta,"Expo Post
Sept Intake","FES, 21 Years and Expo Logo
Secure Your Spot For The 
September 2025 Intake at the Expo

#ParhoWahanBarhoYahan
Register Now

(Add the schedule in the footer if it suits otherwise dont)
11:00 AM - 5:00 PM
21st May, 2025
Nishat Emporium, Lahore

22nd May, 2025
FES Office, Gujranwala

23rd May, 2025
Serena Hotel, Islamabad

24th May, 2025
FES Office, Wah Cantt

26th May, 2025
Serena Hotel, Peshawar

27th May, 2025
FES Office, Mardan

29th May, 2025
FES Office, Abbottabad

31st May, 2025
FES Office, Karachi

0346 8454999
0341 8454555
www.fespak.com",Raheel,(Add the schedule in the footer if it suits otherwise dont),,Insia,29 April,,Pending,,"Thinking about studying abroad this year? The FES Study Abroad Expo is your chance to secure a spot for the September 2025 intake. With 21 years of expertise, FES connects you with international university representatives, offers on-spot guidance and helps you explore the best options without the stress. ",Discard,,,,,
SM post,1080x1350(W x H) insta,Combined Expo Post,"FES, 21 Years and Expo Logo
Clear Your Schedule For the Expo
(use Leading Education Consultancy badge also)

#ParhoWahanBarhoYahan 
(Dates of the expos in calendar or catchy element)
21st May, 2025
Nishat Emporium, Lahore

22nd May, 2025
FES Office, Gujranwala

23rd May, 2025
Serena Hotel, Islamabad

24th May, 2025
FES Office, Wah Cantt

26th May, 2025
Serena Hotel, Peshawar

27th May, 2025
FES Office, Mardan

29th May, 2025
FES Office, Abbottabad

31st May, 2025
FES Office, Karachi
Timings: 11 AM - 5 PM

Register Now

0341 8454555
0346 8454999
www.fespak.com",Tayyaba,,https://www.pinterest.com/pin/3377768467584377/,Insia,29 April,,Completed ,Approved,"Clear your schedule — the most awaited Study Abroad Expo is coming your way! As Pakistan’s leading education consultancy with 21 years of excellence, FES brings you face-to-face with international university representatives and expert guidance for the September 2025 intake. Mark your city, plan your visit and take the next step toward your global future.",Posted,,,,,
Newspaper Ad,"
27x4=108  سینٹی میٹر","Newspaper Ad
Wah Cantt.","FES logo
Add flags and names of the following countries:
UK, Australia, USA, Canada, Ireland, Netherlands, Germany, Hungary, Malaysia, UAE, Türkiye, Indonesia
September 2025 Intake
www.fespak.com
0345-8454773
Office 28-30, Al Kareem Arcade, Main Grand Trunk Rd, opposite Kohistan Enclave, Wah Cantt, Rawalpindi, Punjab 47040
",Raheel,,,Shumaila,29 April,2 May,Completed ,,None,None,,,,,
SM post,,Labour Day,"FES logo
1st May
International Labour Day 2025
Today, we celebrate the contributions of workers around the world
www.fespak.com
",Akbar,,,Shumaila,30 April,,Completed ,Approved,Recognizing the strength and dedication of workers around the globe on International Labour Day. Your efforts build our present and shape our future. Thank you!,Posted,,,,,
SM post,,Holiday Announcement,"FES logo
Notice
In observance of Labour Day, all FES offices across Pakistan will remain closed on May 1st, 2025 (Thursday).
Offices will resume regular operations from May 2nd, 2025 (Friday). Thank you!
0341-8454888
www.fespak.com
",Akbar,,,Shumaila,30 April,,Completed ,Approved,"In observance of International Labour Day, all FES offices across Pakistan will be closed on Thursday, May 1st, 2025. Regular operations will resume on Friday, May 2nd, 2025. Thank you for your understanding.",Posted,,,,,
May 2025                                                     May 2025,,,,,,,,,,,,,,,,,,
LABOUR DAY                                                                                                                                               LABOUR DAY,,,,,,,,,,,,,,,,,,
Event Cover,"Landscape
1600x900",ENU App Day 19 May,"FES, 21 yrs and ENU Logo
Study In The UK
ENU Application Day
(Exclusive Partner of FES)

Monday, 19th May, 2025
10:00 AM – 06:00 PM

Locations:
Lahore Cantt. | Lahore DHA | Gujranwala | Rawalpindi | Wah Cantt. | Peshawar | Peshawar Deans | Mardan | Abbottabad | Karachi

Join Us In Your City
0341 8454555
0346 8454999
www.fespak.com
",Akbar,Dont make this eventcover. On Hold by Sir Amjad,,Shumaila,2 May,,On Hold,On Hold,On Hold,On Hold by Sir Amjad,,,,,
SM post,"1080x1350 ig
1080x1080 fb",Expo Post,"FES, 21 Years and Expo Logo
Let's Enroll You For the
September 
2025 Intake 

#ParhoWahanBarhoYahan
Register Now

0346 8454999
0341 8454555
www.fespak.com",Raheel,"Mention May on the right box showing that its gone (only display MA and half Y)

Write September(Big Font) as mentioned and the other text small",https://www.pinterest.com/pin/54324739249838336/,Insia,2 May,20 May,Completed ,,One decision today can lead to a lifetime of change. Make September 2025 the start of your global journey with FES. ,Posted,,,,,
SM post,"1080x1350(W x H) insta
1080x1080 fb",Lahore Expo,"logo of FES & Study Abroad Expo 2025! 
Are you ready to be our next success story? 

Join us at FES Office, Lahore(highlight lahore)
11 am - 5 pm
21st May, 2025 

Earn an International Degree with FES
No Charges | Register Now

0345 8454770 | 0346 845446 | 0345 8454769 
www.fespak.com
",Akbar,Follow Expo Theme and the reference attached,https://www.pinterest.com/pin/633387443265062/,Insia,2 May,,Not completed,,"Want to study abroad without the hassle? Join us in Lahore at Nishat Emporium on 21st May 2025, from 11 AM to 5 PM, and explore how you can earn an international degree with FES, with no charges and on-the-spot registration. ",Design not completed,,,,,
Printing,A3,Expo,"Convert the expo cities that were assigned into A3 size.
Add ""Undergraduate & Postgraduate Programs"" and change PSW to Post Study Work Visa",Tayyaba,,,Shumaila,3 May,,Completed ,,None,None,,,,,
Printing,A3 and A5 size,Expo,Convert the expo cities that were assigned into A3 and A5 sizes.,Raheel,,,Shumaila,3 May,,Completed ,,None,None,,,,,
S U N D A Y                                                                                                                        S U N D A Y,,,,,,,,,,,,,,,,,,
SM post,"1080x1350 ig
1080x1080 fb",Uni of Hull,"FES, 21 Years and University of Hull Logo
Get Direct Admission to Master’s on the basis of a 2-Years Bachelor's
(Must have Experience of 4-5 Years)

Special Scholarships available for Business Courses
No Compliance or Credibility Interview
Open to Accept Refusals also!
No Enrollment Fee

Don't wait & Apply Now for the September 2025 Intake


www.fespak.com
0341 8454555
0346 8454999",Akbar,,,Insia,5 May,2 June,Completed ,,"Have a 2-year Bachelor’s and 4–5 years of work experience? You can now get direct admission to a Master’s program at the University of Hull. With special scholarships for Business courses, no compliance or credibility interview, no enrollment fee and even refusals accepted, this is your chance to apply stress-free for the September 2025 intake.",Posted,,,,,
Reel,,Receipt Video Expo,"FES, 21 Years and Expo Logo
Join us at the Biggest Study Abroad Expo in your city

Lahore
Nishat Emporium, Lahore
21st May, 2025
11 AM - 5 PM

Gujranwala
Office 1-2, 1st Floor, Trust Plaza, GT Road
22nd May, 2025
11 AM - 5 PM

Islamabad
Serena Hotel, Islamabad
23rd May, 2025
11 AM - 5 PM


Wah Cantt
Office 28-30, Al Kareem Arcade, Main GT Rd, opposite Kohistan Enclave
24th May, 2025
11 AM - 5 PM

Peshawar
Serena Hotel, Peshawar
26th May, 2025
11 AM - 5 PM

Mardan
Office 4-6, 1st Floor, Mardan City Center, Qazi Bashir Ahmad Road
27th May, 2025
11 AM - 5 PM


Abbottabad
Office 103-104, 1st Floor, Bilal Plaza, Adjacent Silk Plaza
29th May, 2025
11 AM - 5 PM


Karachi
M-101, Mezzanine Floor, Above Faisal Bank, Off Nipa Chowrangi, FL-3/1 Block No.5, Gulshan-e-Iqbal
31st May, 2025
11 AM - 5 PM",Sherry,,,Insia,5 May,,Not completed,,"Explore your study abroad options at the Biggest Study Abroad Expo in Lahore! Get direct access to top universities, scholarships and international study programs. 🎓",Discard,,,,,
Printing,A5 (A4 half),Combine A5 flyer,"FES, 21 Years and Expo Logo
Clear Your Schedule For the Expo
(use Leading Education Consultancy badge also)

(Highlight City Name more than venue name, reference attached)
21st May
Lahore
Nishat Emporium

22nd May
Gujranwala
FES Office

23rd May
Islamabad
Serena Hotel

24th May
Wah Cantt.
FES Office

26th May
Peshawar
Serena Hotel

27th May
Mardan
FES Office

29th May
Abbottabad
FES Office

31st May
Karachi
FES Office

Timings: 11 AM – 5 PM
(also add A3 points here)
250+ Top Ranked Universities
1000s of Scholarships Available
95% Visa Success Rate
Part Time Work Options
Post Study Work Visa
Undergraduate & Postgraduate Programs


#ParhoWahanBarhoYahan 

Register Now
0341 8454555
0346 8454999
www.fespak.com
",Tayyaba,Priority task (complete it by today),,Shumaila,5 May,,Completed ,,None,None,,,,,
Reel Graphics,Reel Size,Receipts for Video,"Lahore
Office # 31/2, Upper Ground, Mall of Lahore, 172 Tufail Road, Cantt Lahore.
21st May
11 AM - 5 PM

Gujranwala
Office 1-2, 1st Floor, Trust Plaza, GT Road
22nd May
11 AM - 5 PM

Rawalpindi
Office 115A-116, 1st Floor, Kohistan Tower, Mehfooz Shaheed Road, Saddar, Rawalpindi
23rd May
11 AM - 5 PM

Wah Cantt
Office 28-30, Al Kareem Arcade, Main GT Rd, opposite Kohistan Enclave
24th May
11 AM - 5 PM

Peshawar
Office 2-4, 1st Floor, Azam Towers, Arbab Road Stop, University Road, Peshawar
26th May
11 AM - 5 PM

Mardan
Office 4-6, 1st Floor, Mardan City Center, Qazi Bashir Ahmad Road
27th May
11 AM - 5 PM

Abbottabad
Office 103-104, 1st Floor, Bilal Plaza, Adjacent Silk Plaza
29th May
11 AM - 5 PM


Karachi
M-101, Mezzanine Floor, Above Faisal Bank, Off Nipa Chowrangi, FL-3/1 Block No.5, Gulshan-e-Iqbal
31st May
11 AM - 5 PM",Raheel,Make the 8 receipts with the content provided for every city with its monument. Receipt is attached in the next col,https://www.instagram.com/p/DHsr4yCi22K/,Insia,5 May,,,,None,Discard,,,,,
SM post,"1080x1350 ig
1080x1080 fb",FES UAE,"FES and 21 Years Logo
Start you International Career with FES
Foundation
Bachelors
Masters

Apply now for the September 2025 Intake

Consult Now!
The Meydan Hotel, Grandstand, 6th floor, Meydan Road, Nad Al Sheba, Dubai, U.A.E
+971 58 506 2157
www.fespak.com",Tayyaba,,https://www.pinterest.com/pin/68117013108711891/,Insia,5 May,,Completed ,,"Turn ambition into action with FES. Whether you're planning for Foundation, Bachelor’s or Master’s programs, we’ve got you covered. September 2025 intake is open, apply today and get ahead.",Posted ,,,,,
SM post,"1080x1350 ig
1080x1080 fb",FES UAE,"FES and 21 Years Logo
Study Abroad Made Easier With FES

Quick Offer Letter 
High Employability Rate
Scholarships Available
With/Without IELTS 
Post Study Work Visa

Apply now for the September 2025 Intake

Free Assessment
Consult Now!
The Meydan Hotel, Grandstand, 6th floor, Meydan Road, Nad Al Sheba, Dubai, U.A.E
+971 58 506 2157
www.fespak.com",Tayyaba,Priority ,,Insia,5 May,9 May,Completed ,,"With FES, studying abroad is smooth, fast and full of opportunities. Let's get you enrolled for the September 2025 intake!",Posted ,,,,,
Paid Ad,"1080x1350 ig
1080x1080 fb",FES UAE,"FES and 21 Years Logo
CBSE results are around the corner! Not sure what comes next? (small font)

Let FES guide you to international opportunities that match your goals. (big fontsize and highlight international opportunities)
✅ Personalized Guidance
✅ Top-Ranked Universities
✅ Scholarship Opportunities
✅ Hassle-Free Admissions

Free Assessment
Consult Now!
The Meydan Hotel, Grandstand, 6th floor, Meydan Road, Nad Al Sheba, Dubai, U.A.E
+971 58 506 2157
www.fespak.com",Tayyaba,"1080x1350 ig
1080x1080 fb and eventcover size required",,Insia,5 May,,Completed ,,"Results coming in? Still unsure about your next move?
Let FES open doors to international opportunities that match your dreams. From top universities to scholarship options—we’re here to guide you every step of the way.
Your future doesn’t wait. Neither should you.",Posted ,,,,,
SM post,"1080x1350 ig
1080x1080 fb",3d Action Figure,Chat Gpt Image,Raheel,,,Insia,6 May,,Completed ,,"Packed with dreams. Labeled with destinations. Your study abroad journey isn’t a fantasy, it’s written in your future. Let the action begin at the Expo!",Posted,,,,,
SM post,"1080x1350 ig
1080x1080 fb",FES UAE,"FES 21 Years & CBSE Logo
Congratulations Class of 2025!
Now is the perfect time for your next move

Plan your Higher Studies with FES
UK | Germany | Malaysia | USA

Grades doesn't matter, Apply Now

The Meydan Hotel, Grandstand, 6th floor, Meydan Road, Nad Al Sheba, Dubai, U.A.E
+971 58 506 2157
www.fespak.com",Tayyaba,,,Insia,6 May,,Completed ,,"Congratulations students! You’ve done your part — now let FES help with the rest. Whether it's the UK, Germany, Malaysia or the USA, we’ll guide you. Apply today and move one step closer to your dream university! 🎓",Posted ,,,,,
Printing,A5 (A4 half),IELTS post ,"IELTS 8.0 with FES logo
English for Safety Officers:
Unlock your potential: Communicate with Confidence in Every Interview
1.        Resume and Cover Letter Assistance: Craft Compelling documents that align with your interview narrative.
•        Personalized coaching
•        Mock interviews
•        Body language training
•        Common questions mastery
•        Feedback sessions

2.        Special Offers:
a.        Early bird discount
b.        Group enrollment
c.        Free resources
0342 8454646
0346 8454567
www.fespak.com
",Akbar,,,Shumaila,6 May,,Completed ,,"Join our English for Safety Officers program and get expert help with resumes, mock interviews and communication skills — plus enjoy early bird discounts, group deals and free resources. Apply Now!",No need to post,,,,,
Standee,,Expo Standees,Convert A3 flyers into standee but remove the points,Raheel,,,Insia,6 May,,On Hold,,None,No need to post,,,,,
Printing,"A5 (A4 half)
A3 & 1080X1080",Abbottabad,"Logo of FES, 21 Years of Excellence (cross element or simple write In collaboration with UET Abbottabad logo)
Study Abroad Education Expo 2025

📅 Thursday, 15th May, 2025
Timings: 11 am to 4 pm

📍 Venue: UET Abbottabad Campus
Why Attend?
✅ Meet official university representatives
✅ Explore international study options (UK, Australia, USA, Canada & more)
✅ Get expert career & course guidance
✅ Learn about scholarships and admission requirements
✅ Ask questions – Get real answers

0346-8454747 | 0345-8454772
www.fespak.com
",Tayyaba,Urgent,,Shumaila,6 May,8 May,Completed ,,"Join us at the Study Abroad Education Expo 2025 on Thursday, 15th May at UET Abbottabad Campus and take the first step toward your international academic journey. Whether you're planning to study in the UK, USA, Australia, Canada, or beyond, this education expo brings official university representatives under one roof to offer free guidance on admissions, scholarships, course selection, and study abroad requirements. 

Get personalized advice, compare study options, explore career pathways and have all your questions answered by experts. Don’t miss this exclusive opportunity to turn your global education dreams into reality with trusted support from FES, a name with over 21 years of excellence in international education consultancy.

","1080X1080
Posted",,,,,
Paid Ad,,UAE Design Conversions For Ads,UAE Designs,Tayyaba,,,Insia,6 May,6 May,Completed ,,None,-,,,,,
Certificate,SM post ,Anniversary Certificates,"Work Anniversary Certificates 
-Daud Aftab - Two Years 
-Sheeza Mehmood - One Year 
-Inam Ullah - Seven Years 
-Samad Noor - Two Years 
-Seemab Saleem - Two Years ",Akbar,,,Arooba,6 May,6 May,Completed ,,None,None,,,,,
Event Cover,Landscape,,"FES, 21 years nd Cape Breton University Canada logo
Study in Canada 
In-House Session

Meet Official Representative
Faiza Amjad Ali
Regional Recruitment Manager - Pakistan

15th May, 2025
12 PM to 4 PM

0344 8454242
0343 8454141
www.fespak.com",Raheel,,,Insia,6 May,,Completed ,,"FES is excited to bring you an incredible opportunity to study in Canada! Join us for an In-House Session with Faiza Amjad Ali, the Regional Recruitment Manager for Cape Breton University, as she shares valuable insights on studying in Canada. The session will be held on 15th May 2025 from 12 PM to 4 PM at the FES Office in Karachi. Don’t miss your chance to meet the official representative and get all the information you need to take the next step toward your Canadian education journey.",Posted,,,,,
SM post,,Hiring Post,"Experience: 2-3 Years
Education Counselor
Location: FES Office, Karachi
Female and Male


Experience: 2-3 Years
Marketing Executive
Location: FES Office, Karachi
",Tayyaba,Use any old hiring design ,,Shumaila,7 May,,Completed ,,None,Posted,,,,,
Printing,,Cards,Visiting Cards,Tayyaba,,,Amjad,7 May,7 May,Completed ,,None,None,,,,,
Printing,,,Employee Cards,Raheel,,,Amjad,7 May,7 May,Completed ,,None,None,,,,,
SM post,,FES UAE,"FES and 21 Years Logo
Study Medicine in Malaysia From
Top Ranked Universities 
Free Assessment
Consult Now!
The Meydan Hotel, Grandstand, 6th floor, Meydan Road, Nad Al Sheba, Dubai, U.A.E
+971 58 506 2157
www.fespak.com",Tayyaba,Urgent,,Insia,9 May,9 May,Completed ,,"Study Medicine in Malaysia – where quality meets affordability at top-ranked universities.
Get a free assessment from FES, your trusted consultants with 21 years of experience.
Join us in Dubai and take the first step towards your medical future!",Posted,,,,,
Newsletter,,April Newsletter,April Newsletter,Raheel,Priority,,Insia,9 May,12 May,Completed ,,None,Posted,,,,,
Blogs,,Blog Posts,"Challenges of studying abroad for UAE students
Scholarships for UAE Students to Study in the UK
Scholarship Opportunities for UAE Students in Germany",Akbar,Urgent and Priority Task,,Insia,10 May,10 May,Completed ,,None,None,,,,,
SM post,,Operation Bunyan al Marsoos,"FES logo
Operation Bunyan al Marsoos
إِنَّ اللَّهَ يُحِبُّ الَّذِينَ يُقَاتِلُونَ فِي سَبِيلِهِ صَفًّا كَأَنَّهُم بُنيَانٌ مَّرْصُوصٌ
""بے شک اللہ اُن لوگوں سے محبت کرتا ہے جو اُس کی راہ میں صف باندھ کر اس طرح لڑتے ہیں گویا وہ سیسہ پلائی ہوئی دیوار ہیں۔""

May Allah grant victory, safety and strength to our nation.
Long Live Pakistan 

www.fespak.com",Tayyaba,Urgent and Priority Task,,Insia,10 May,10 May,Completed ,Discarded,"Ya Allah, protect our defenders, unite our nation, grant strength to our forces, and bless us with victory and peace. Ameen",Discarded,,,,,
SM post,,Mothers day,"FES, 21 years logo

She lets them go, but her love never does. 
Happy Mother’s Day to all the brave moms

www.fespak.com",Raheel,"Theme according to current scenerio and study abroad, Urgent",,Insia,10 May,10 May,Completed ,Approved,"Whether she sends her child to the border or beyond borders, her love remains the strongest force behind them. Happy Mother’s Day to all resilient moms.",Posted,,,,,
Reel,Reel Size,Peshawar Expo Video,Kuch naya kuch bara,Sherry,,,Ahmad,10 May,10 May,Completed ,Changes required,"Ek nayi shuruaat, ek behtareen mauqa jo likhne wala hai aapki zindagi ka naya chapter, Education Expo 2025 aa raha hai aapke sheher Peshawar mein! 
*Venue:* Serena Hotel, Peshawar
*Date:* 26th May, 2025
*Time:* 11:00 AM to 5:00 PM 
Apni jagah reserve karna mat bhoolna kyun ke yeh din badal dega aapka future.",Posted ,,,,,
Reel,Reel Size,Expo Promotional Box Video,-,Sherry,,,Ahmad,10 May,10 May,Completed ,,Register for the FES Study Abroad Expo 2025 before that box hits you too!,Posted,,,,,
S U N D A Y                                                                                                                        S U N D A Y,,,,,,,,,,,,,,,,,,
Reel,Reel Size,University of Dundee,"Short Script for University of Dundee for Ma'am Bakhtawar:

Your incredible UK study adventure starts at Dundee! 

 Join an international community of students, study at a leading university, and experience the unique Scottish culture. 

Ranked for excellence, especially in Medicine, Law, and its renowned Art & Design school. 

""FES makes your Study Abroad journey smooth! We handle applications, visa guidance, and provide personalized support to ensure you're ready to thrive. ""

Don't just dream it, live it! Your future is calling. Contact FES to explore your options at the University of  Dundee.",Sherry,,,Ahmad,12 May,,Completed ,,"The University of Dundee is more than a place to study, it’s where futures are built. Join a global student community, explore your passions and get support every step of the way with FES. ",Posted,,,,,
Reel,Reel Size,MMU ,"Short Script (MMU) for Ma'am Bakhtawar:

UK Perhnay jana hy? No Worries!  Study in Manchester Metropolitan University! They offer a diverse range of programs with scholarships up to £5,000!""
""MMU! A Top Tier university, providing quality education in the heart of the UK. 

Get on Spot Assessment and join MMU! Leading towards many PSW opportunities! 

FES hoga apkay sath throughout your application process because at FES, We Guide, You Lead!",Sherry,,,Ahmad,12 May,,Completed ,,"Yes, you heard it right! If you’re planning to study in the UK, Manchester Metropolitan University is an excellent choice, offering scholarships up to £5,000 and strong post-study work opportunities. Connect with us today and kickstart your journey to success at MMU!
",Posted,,,,,
SM post,"1080x1350 ig
1080x1080 fb",Cape Breton University Event Karachi,"FES logo, 21 Years Logo, Cape Breton University logo
Why Choose Cape Breton University, Canada?
-        Affordable Education & Lower Cost of Living
-        Growing Job Market & Work Opportunities  
-        Post-Graduation Work Permit (PGWP) Up To 3 Years
-        Pathway to Permanent Residency (PR)
-        Stunning Location & High Quality of Life

Join Us for In-House Session At FES Office, Karachi
15th May, 2025
12 PM – 4 PM
0342-8454242
0344-8454242
www.fespak.com
",Raheel,Use Already Used Theme,,Shumaila,12 May,,Completed ,,"Want to study in Canada on a budget? CBU in Nova Scotia offers international students low tuition, cost-effective living and access to growing job markets. With PGWP and PR options, it’s your sign to build a future in Canada. Apply now!",Posted ,,,,,
Reel,Reel Size,Bakhtawar Expo,Expo ,Sherry,,,Ahmad,12 May,,Completed ,Changes required in locations,"21 years of building futures, and yet there’s more to come. Another chance to meet top universities, ask questions, and get expert guidance. More experience. More options. More of YOU—only at the FES Study Abroad Expo.
",Posted,,,,,
SM post,,FES UAE,"FES 21 Years & Segi Uni Logo
Bachelor of Medicine and Bachelor of Surgery (MBBS) From Malaysia
September 2025 Intake is open
Apply Now

The Meydan Hotel, Grandstand, 6th floor, Meydan Road, Nad Al Sheba, Dubai, U.A.E
+971 58 506 2157
www.fespak.com",Tayyaba,,,Insia,12 May,,Completed ,,"Start your medical career with the Bachelor of Medicine and Bachelor of Surgery (MBBS) at SEGi University, Malaysia. The September 2025 intake is now open, offering international students a chance to study in a globally recognized medical program with modern facilities and experienced faculty. Apply now!",Not Posted - On Hold,,,,,
Printing,"Height: 14.7 feet
Width: 17.66 feet",Flex,"Outside Office Flex
Height: 14.7 feet
Width: 17.66 feet",Raheel,Urgent and Priority Task,,Amjad,13 May,,Completed ,,None,No need to post,,,,,
Printing,"Height: 5.8 inches
Width: 11.8 inches",Uni Logos Media Wall,"Uni Logos Planks
Height: 5.8 inches
Width: 11.8 inches",Tayyaba,Urgent and Priority Task,,Amjad,13 May,,Completed ,,None,No need to post,,,,,
Printing,"Height: 2.5 feet
Width: 3.83 feet
Depth: 1.2 feet",Kiosk,"Kiosk/Help Desk 
(Have entire kiosk made)
Height: 2.5 feet
Width: 3.83 feet
Depth: 1.2 feet",Raheel,Urgent and Priority Task,,Amjad,13 May,16 May,Working On It,,None,No need to post,,,,,
Standee,2×5 in feet,Abbottabad Standee,"FES logo X UET logo 
Study Abroad Education Expo 2025 
15th May, 2025
11 AM – 4 PM
Venue: UET, Abbottabad Campus
0346-8454747
0345-8454772
www.fespak.com
",Tayyaba,Use Already Used Theme but improve it further,,Shumaila,13 May,,Completed ,,None,No need to post,,,,,
SM post,,Abbottabad Expo post,"FES logo X UET logo 
Study Abroad Education Expo 2025 
15th May, 2025
11 AM – 4 PM
UET, Abbottabad Campus

Meet Top Ranked International Universities
With and Without IELTS Options
UG & PG programs
Free Entry

September 2025 Intake

0346-8454747
0345-8454772
www.fespak.com",Tayyaba,Use Already Used Abbottabad Theme with the inspo attached,https://www.pinterest.com/pin/660903314101327879/,Insia,13 May,,Completed ,,"Start your study abroad journey at the Study Abroad Education Expo 2025 on Thursday, 15th May at UET Abbottabad Campus. Don’t miss this exclusive opportunity to turn your global education dreams into reality with FES, a leading education consultancy since 2003.",Posted,,,,,
SM post,"Provide both sizes 
1080x1350 ig
1080x1080 fb",Dundee Promotion,"FES, 21 Years and Dundee Logo
Reasons Dundee is a Top Pick for Students in 2025

Ranked 36th in The Times and Sunday Times Good University Guide 2025
Scottish University of the Year 2025 by Daily Mail University Guide 2025
Ranked #1 in the UK for Dentistry by Complete University Guide 2025
Top 5 in UK for six subjects by the Sunday Times Good University Guide 2025
Ranked 28th in the UK for Law by Complete University Guide 2025

September 2025 Intake is Open
Apply Now

www.fespak.com",Tayyaba,Pick the ranking authorities pictures from the link attached,"
https://www.pinterest.com/pin/1125968705656564/
https://www.dundee.ac.uk/rankings ",Insia,13 May,,Completed ,,"Want a university that’s winning awards, leading in key subjects, and known for real student success? The University of Dundee is making waves in 2025 — and you can be part of it. Apply now and shape your future with confidence!",Posted,,,,,
